year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,13.0,F,B,16.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0
2003,13.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,13.0,F,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,13.0,F,Q,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
2003,13.0,F,W,22.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2003,13.0,M,A,17.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
2003,13.0,M,B,311.0,31.0,155.0,39.0,8.0,5.0,1.0,13.0,32.0,14.0,97.0,48.0,18.0,8.0,23.0,64.0,8.0,7.0,39.0,59.0,17.0,8.0,30.0,5.0,6.0,52.0,14.0
2003,13.0,M,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,13.0,M,P,22.0,1.0,12.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,4.0,0.0,1.0,2.0,5.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0
2003,13.0,M,Q,141.0,8.0,67.0,16.0,5.0,5.0,4.0,5.0,16.0,7.0,56.0,14.0,6.0,1.0,19.0,11.0,10.0,6.0,12.0,26.0,6.0,6.0,6.0,2.0,5.0,19.0,12.0
